id;ma_lop;ten_lop;si_so
1;ability Hat Iraq;magenta Concrete;33761
2;Directives;sky blue;55810
3;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;3688
4;Personal Loan Account;paradigms Home;34507
5;deposit Canadian Dollar Lebanon;Designer Persistent;67213
6;navigate;Re-contextualized;80313
7;Point Orchestrator;Solomon Islands Licensed;83530
8;installation;Argentine Peso;85835
9;neural-net red;Buckinghamshire Future-proofed deposit;17436
10;Yen synthesize Creative;Forint;73521
